taco_id,original,display
222,"Maçã, Fuji, com casca, crua",Maçã Fuji com casca crua
223,"Macaúba, crua",Macaúba crua
224,"Mamão, doce em calda, drenado",Mamão doce em calda drenado
225,"Mamão, Formosa, cru",Mamão formosa cru
226,"Mamão, Papaia, cru",Mamão papaia cru
227,"Mamão verde, doce em calda, drenado",Mamão verde doce em calda drenado
228,"Manga, Haden, crua",Manga Haden crua
229,"Manga, Palmer, crua",Manga palmer crua
230,"Manga, polpa, congelada",Manga polpa congelada
231,"Manga, Tommy Atkins, crua",Manga Tommy atkins crua
232,"Maracujá, cru",Maracujá cru
233,"Maracujá, polpa, congelada",Maracujá polpa congelada
234,"Maracujá, suco concentrado, envasado",Maracujá suco concentrado envasado
235,"Melancia, crua",Melancia crua
236,"Melão, cru",Melão cru
237,"Mexerica, Murcote, crua",Mexerica murcote crua
238,"Mexerica, Rio, crua",Mexerica rio crua
239,"Morango, cru",Morango cru
240,"Nêspera, crua",Nêspera crua
241,"Pequi, cru",Pequi cru
242,"Pêra, Park, crua",Pêra park crua
243,"Pêra, Williams, crua",Pêra williams crua
244,"Pêssego, Aurora, cru",Pêssego aurora cru
245,"Pêssego, enlatado, em calda",Pêssego enlatado em calda
246,"Pinha, crua",Pinha crua
247,"Pitanga, crua",Pitanga crua
248,"Pitanga, polpa, congelada",Pitanga polpa congelada
249,"Romã, crua",Romã crua
250,"Tamarindo, cru",Tamarindo cru
251,"Tangerina, Poncã, crua",Tangerina poncã crua
252,"Tangerina, Poncã, suco",Tangerina poncã suco
253,"Tucumã, cru",Tucumã cru
254,"Umbu, cru",Umbu cru
255,"Umbu, polpa, congelada",Umbu polpa congelada
256,"Uva, Itália, crua",Uva itália crua
257,"Uva, Rubi, crua",Uva rubi crua
258,"Uva, suco concentrado, envasado",Uva suco concentrado envasado
259,"Azeite, de dendê",Azeite de dendê
260,"Azeite, de oliva, extra virgem",Azeite de oliva extra virgem
261,"Manteiga, com sal",Manteiga com sal
262,"Manteiga, sem sal",Manteiga sem sal
263,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",Margarina com óleo hidrogenado com sal (65% de lipídeos)
264,"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",Margarina com óleo hidrogenado sem sal (80% de lipídeos)
265,"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",Margarina com óleo interesterificado com sal (65%de lipídeos)
266,"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",Margarina com óleo interesterificado sem sal (65% de lipídeos)
267,"Óleo, de babaçu",Óleo de babaçu
268,"Óleo, de canola",Óleo de canola
269,"Óleo, de girassol",Óleo de girassol
270,"Óleo, de milho",Óleo de milho
271,"Óleo, de pequi",Óleo de pequi
272,"Óleo, de soja",Óleo de soja
273,"Abadejo, filé, congelado, assado",Abadejo filé congelado assado
274,"Abadejo, filé, congelado,cozido",Abadejo filé congelado cozido
275,"Abadejo, filé, congelado, cru",Abadejo filé congelado cru
276,"Abadejo, filé, congelado, grelhado",Abadejo filé congelado grelhado
277,"Atum, conserva em óleo",Atum conserva em óleo
278,"Atum, fresco, cru",Atum fresco cru
