page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
37,Chocolate Quik-Nestlé®,545.0,56.2,32.0,7.9,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Sensação -Especialidades,490.9,69.09,21.81,,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Smarties -Nestlé®,462.0,76.2,15.71,3.71,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Smash -Nestlé®,426.0,78.7,10.2,5.2,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate SuOair branco -Nestlé®,576.0,48.3,38.0,10.0,,False,"Bolo, pronto, chocolate",0.167
38,Chocolate Surpresa · Nestlé®,568.0,54.6,35.8,6.9,,False,"Bolo, pronto, chocolate",0.2
38,Chocolate Surpresa bichos baunilha ·,546.0,62.0,16.42,,,False,"Bolo, pronto, chocolate",0.167
38,Chocolate Surpresa bichos morango ·,546.6,62.0,16.42,,,False,"Morango, cru",0.2
38,Chocolate Surpresa bichos tutti-fruti •,546.6,62.0,16.42,,,False,"Bolo, pronto, chocolate",0.143
38,Chocotone • Hauducco® 40 I .00,55.0,17.0,,7.0,,False,,0.0
38,Chocrilhos chocolate • Kellogg's®,450.0,66.0,18.0,7.0,3.0,False,"Bolo, pronto, chocolate",0.167
38,Chuleta com osso (crua) I,298.42,0.0,21.0,25.04,0.0,False,"Acelga, crua",0.2
38,Cidra,40.0,,0.2,0.6,1.4,False,,0.0
38,Claybon® Sabor e Saúde (creme,545.0,,,,,False,Creme de Leite,0.2
38,Cobertura de caramelo para sorvete·,275.9,66.9,0.4,,,False,"Bolo, mistura para",0.167
